id,name,baseValue,rarity,category,modelPath,preset
accessoryglassdot0_plastic_matte,Accessory Glass Dot 0 (매트 플라스틱),15000,1,액세서리,assets/models/AccessoryGlassDot0.glb,plastic_matte
accessoryglassdot0_plastic_gloss,Accessory Glass Dot 0 (글로시 플라스틱),16500,0.95,액세서리,assets/models/AccessoryGlassDot0.glb,plastic_gloss
accessoryglassdot0_rubber_soft,Accessory Glass Dot 0 (소프트 러버),15800,1,액세서리,assets/models/AccessoryGlassDot0.glb,rubber_soft
accessoryglassdot0_ceramic_clean,Accessory Glass Dot 0 (클린 세라믹),18000,0.9,액세서리,assets/models/AccessoryGlassDot0.glb,ceramic_clean
accessoryglassdot0_metal_brushed,Accessory Glass Dot 0 (브러시드 메탈),20300,0.8,액세서리,assets/models/AccessoryGlassDot0.glb,metal_brushed
accessoryglassdot0_metal_polished,Accessory Glass Dot 0 (폴리시드 메탈),22500,0.7,액세서리,assets/models/AccessoryGlassDot0.glb,metal_polished
accessoryglassdot0_paint_clearcoat,Accessory Glass Dot 0 (클리어코트 페인트),19500,0.85,액세서리,assets/models/AccessoryGlassDot0.glb,paint_clearcoat
accessoryglassdot0_fabric_sheen,Accessory Glass Dot 0 (패브릭 쉰),17300,0.95,액세서리,assets/models/AccessoryGlassDot0.glb,fabric_sheen
accessoryglassdot0_glass_clear,Accessory Glass Dot 0 (클리어 글래스),24000,0.6,액세서리,assets/models/AccessoryGlassDot0.glb,glass_clear
accessoryglassdot0_resin_tinted,Accessory Glass Dot 0 (틴티드 레진),21800,0.75,액세서리,assets/models/AccessoryGlassDot0.glb,resin_tinted
accessoryglassdot0_matcap_clay,Accessory Glass Dot 0 (클레이),15800,1,액세서리,assets/models/AccessoryGlassDot0.glb,matcap_clay
accessoryglassdot0_matcap_wax,Accessory Glass Dot 0 (왁스),16500,0.95,액세서리,assets/models/AccessoryGlassDot0.glb,matcap_wax
accessoryglassdot0_matcap_chrome,Accessory Glass Dot 0 (크롬),23300,0.65,액세서리,assets/models/AccessoryGlassDot0.glb,matcap_chrome
accessoryglassdot0_matcap_bronze,Accessory Glass Dot 0 (브론즈),21000,0.8,액세서리,assets/models/AccessoryGlassDot0.glb,matcap_bronze
accessoryglassdot0_matcap_black_rubber,Accessory Glass Dot 0 (블랙 러버),16200,1,액세서리,assets/models/AccessoryGlassDot0.glb,matcap_black_rubber
