id,name,baseValue,rarity,category,modelPath,preset
evtobjpartshata_plastic_matte,새해 톱햇 (블루) (매트 플라스틱),8000,1,액세서리,assets/models/EvtobjPartsHatA.glb,plastic_matte
evtobjpartshata_plastic_gloss,새해 톱햇 (블루) (글로시 플라스틱),8800,0.95,액세서리,assets/models/EvtobjPartsHatA.glb,plastic_gloss
evtobjpartshata_rubber_soft,새해 톱햇 (블루) (소프트 러버),8400,1,액세서리,assets/models/EvtobjPartsHatA.glb,rubber_soft
evtobjpartshata_ceramic_clean,새해 톱햇 (블루) (클린 세라믹),9600,0.9,액세서리,assets/models/EvtobjPartsHatA.glb,ceramic_clean
evtobjpartshata_metal_brushed,새해 톱햇 (블루) (브러시드 메탈),10800,0.8,액세서리,assets/models/EvtobjPartsHatA.glb,metal_brushed
evtobjpartshata_metal_polished,새해 톱햇 (블루) (폴리시드 메탈),12000,0.7,액세서리,assets/models/EvtobjPartsHatA.glb,metal_polished
evtobjpartshata_paint_clearcoat,새해 톱햇 (블루) (클리어코트 페인트),10400,0.85,액세서리,assets/models/EvtobjPartsHatA.glb,paint_clearcoat
evtobjpartshata_fabric_sheen,새해 톱햇 (블루) (패브릭 쉰),9200,0.95,액세서리,assets/models/EvtobjPartsHatA.glb,fabric_sheen
evtobjpartshata_glass_clear,새해 톱햇 (블루) (클리어 글래스),12800,0.6,액세서리,assets/models/EvtobjPartsHatA.glb,glass_clear
evtobjpartshata_resin_tinted,새해 톱햇 (블루) (틴티드 레진),11600,0.75,액세서리,assets/models/EvtobjPartsHatA.glb,resin_tinted
evtobjpartshata_matcap_clay,새해 톱햇 (블루) (클레이),8400,1,액세서리,assets/models/EvtobjPartsHatA.glb,matcap_clay
evtobjpartshata_matcap_wax,새해 톱햇 (블루) (왁스),8800,0.95,액세서리,assets/models/EvtobjPartsHatA.glb,matcap_wax
evtobjpartshata_matcap_chrome,새해 톱햇 (블루) (크롬),12400,0.65,액세서리,assets/models/EvtobjPartsHatA.glb,matcap_chrome
evtobjpartshata_matcap_bronze,새해 톱햇 (블루) (브론즈),11200,0.8,액세서리,assets/models/EvtobjPartsHatA.glb,matcap_bronze
evtobjpartshata_matcap_black_rubber,새해 톱햇 (블루) (블랙 러버),8600,1,액세서리,assets/models/EvtobjPartsHatA.glb,matcap_black_rubber
evtobjpartshata_matcap_red_wax,새해 톱햇 (블루) (레드 왁스),9200,0.9,액세서리,assets/models/EvtobjPartsHatA.glb,matcap_red_wax
evtobjpartshata_matcap_white_ceramic,새해 톱햇 (블루) (화이트 세라믹),10000,0.85,액세서리,assets/models/EvtobjPartsHatA.glb,matcap_white_ceramic
evtobjpartshata_matcap_blue_gloss,새해 톱햇 (블루) (블루 글로시),9600,0.9,액세서리,assets/models/EvtobjPartsHatA.glb,matcap_blue_gloss
evtobjpartshata_matcap_gold,새해 톱햇 (블루) (골드),13600,0.5,액세서리,assets/models/EvtobjPartsHatA.glb,matcap_gold
evtobjpartshata_matcap_silver_soft,새해 톱햇 (블루) (소프트 실버),10800,0.8,액세서리,assets/models/EvtobjPartsHatA.glb,matcap_silver_soft
evtobjpartshatb_plastic_matte,새해 톱햇 (그린) (매트 플라스틱),8000,1,액세서리,assets/models/EvtobjPartsHatB.glb,plastic_matte
evtobjpartshatb_plastic_gloss,새해 톱햇 (그린) (글로시 플라스틱),8800,0.95,액세서리,assets/models/EvtobjPartsHatB.glb,plastic_gloss
evtobjpartshatb_rubber_soft,새해 톱햇 (그린) (소프트 러버),8400,1,액세서리,assets/models/EvtobjPartsHatB.glb,rubber_soft
