id,name,style,type,grade,price,description,modelPath,imagePath
card_fig_witch_queen_stylized,마녀 여왕 (스타일라이즈드),스타일라이즈드,card,SS,41000,빗자루를 의자처럼 걸친 마녀 여왕이 장난기 섞인 미소로 분위기부터 접수하는 카드.,,assets/cards/fig_witch_queen_stylized.webp
card_fig_witch_queen_vinyl,마녀 여왕 (바이닐토이),바이닐토이,card,SS,29000,번들거리는 질감에 마녀 여왕의 여유가 얹혀,,assets/cards/fig_witch_queen_vinyl.webp
card_fig_witch_queen_wooden,마녀 여왕 (우드카빙),우드카빙,card,SS,25000,나무결 위에 빗자루 타는 마녀 여왕의 엉뚱한 품격이 올라앉은 카드.,,assets/cards/fig_witch_queen_wooden.webp
card_fig_wolf_alpha_clay,알파 울프 (클레이),클레이,card,A,9000,바위 위에서 울어젖힌 알파 울프의 야성이 흙결로 단단히 굳어든 카드.,,assets/cards/fig_wolf_alpha_clay.webp
card_fig_wolf_alpha_mech,알파 울프 (메카닉),메카닉,card,S,31000,야생의 기운이 느껴지는 역동적인 포즈. 메카닉 마감으로 생명력 넘치는 일러스트 카드.,,assets/cards/fig_wolf_alpha_mech.webp
card_fig_wolf_alpha_metallic,알파 울프 (메탈릭),메탈릭,card,S,43000,동물의 본능적 아름다움을 메탈릭 특유의 질감으로 포착한 프리미엄 컬렉션.,,assets/cards/fig_wolf_alpha_metallic.webp
card_fig_wolf_alpha_pixel,알파 울프 (복셀픽셀),복셀픽셀,card,B,5000,야생의 기운이 느껴지는 역동적인 포즈. 복셀픽셀 마감으로 생명력 넘치는 일러스트 카드.,,assets/cards/fig_wolf_alpha_pixel.webp
card_fig_wolf_alpha_plush,알파 울프 (플러시),플러시,card,B,7000,동물의 본능적 아름다움을 플러시 특유의 질감으로 포착한 프리미엄 컬렉션.,,assets/cards/fig_wolf_alpha_plush.webp
card_fig_wolf_alpha_wooden,알파 울프 (우드카빙),우드카빙,card,A,12000,야생의 기운이 느껴지는 역동적인 포즈. 우드카빙 마감으로 생명력 넘치는 일러스트 카드.,,assets/cards/fig_wolf_alpha_wooden.webp
fig_angelic_choir_girl_chibi,하늘빛 천사 꼬마,치비,model,C,9000,"순수한 성가처럼 맑은 목소리, 반짝이는 헤일로와 접힌 날개를 품은 천사. 차비 스타일의 귀여운 포즈가 마음을 녹여요. 책상 위에 올려두면 하루가 밝아지는 마법 같은 존재입니다.",assets/models/fig_angelic_choir_girl_chibi.glb,
